구분,hour,Global_active_power
평일,0,0.569
평일,1,0.468
평일,2,0.435
평일,3,0.412
평일,4,0.427
평일,5,0.432
평일,6,0.876
평일,7,1.714
평일,8,1.58
평일,9,1.367
평일,10,1.217
평일,11,1.16
평일,12,1.108
평일,13,1.01
평일,14,0.91
평일,15,0.844
평일,16,0.809
평일,17,0.892
평일,18,1.146
평일,19,1.61
평일,20,1.841
평일,21,1.854
평일,22,1.371
평일,23,0.811
주말,0,0.889
주말,1,0.721
주말,2,0.597
주말,3,0.53
주말,4,0.489
주말,5,0.511
주말,6,0.578
주말,7,0.961
주말,8,1.158
주말,9,1.241
주말,10,1.371
주말,11,1.462
주말,12,1.456
주말,13,1.484
주말,14,1.522
주말,15,1.369
주말,16,1.319
주말,17,1.485
주말,18,1.789
주말,19,2.044
주말,20,2.044
주말,21,1.931
주말,22,1.517
주말,23,1.132
