feature,importance
Global_active_energy_kWh,0.41814782508235704
Global_reactive_energy_kWh,0.0842913222781457
Sub_metering_2_Wh,0.08413630946005475
Voltage,0.08004394112397493
Global_intensity,0.07680311445951378
Sub_metering_3_Wh,0.06529166123028192
Sub_metering_1_Wh,0.04263187083182939
weekday_tomorrow_5,0.038864462189132
weekday_tomorrow_6,0.013851174394958813
month_tomorrow_2,0.009417063574498057
month_tomorrow_3,0.008803245220437931
month_tomorrow_7,0.008718274833946445
month_tomorrow_12,0.008569919209117108
month_tomorrow_1,0.008089016181607879
month_tomorrow_11,0.007699803174534142
weekday_tomorrow_0,0.007013381647110851
weekday_tomorrow_3,0.005604839482344605
month_tomorrow_8,0.0052199769571008355
weekday_tomorrow_1,0.004744544893471289
month_tomorrow_10,0.004572551549140089
weekday_tomorrow_2,0.0043686675443678985
month_tomorrow_5,0.0036166481246005158
weekday_tomorrow_4,0.0035775570815036475
month_tomorrow_6,0.002076452968055875
month_tomorrow_4,0.002058930204773873
month_tomorrow_9,0.001787446303140788
