feature,importance
weekday_tomorrow_5,0.12304881
month_tomorrow_8,0.110571034
month_tomorrow_7,0.095053315
month_tomorrow_12,0.07052838
weekday_tomorrow_0,0.06700973
Global_active_energy_kWh,0.06504423
month_tomorrow_1,0.053664386
month_tomorrow_2,0.04174084
weekday_tomorrow_3,0.039680686
weekday_tomorrow_6,0.03267975
month_tomorrow_6,0.028041802
month_tomorrow_11,0.023729144
month_tomorrow_5,0.02347715
Sub_metering_2_Wh,0.021607928
month_tomorrow_9,0.020969478
Global_intensity,0.020364393
month_tomorrow_3,0.020017674
Sub_metering_3_Wh,0.01990413
weekday_tomorrow_1,0.018980717
month_tomorrow_10,0.018927937
Voltage,0.018234696
month_tomorrow_4,0.015955187
Global_reactive_energy_kWh,0.015223748
weekday_tomorrow_2,0.014132888
Sub_metering_1_Wh,0.012042731
weekday_tomorrow_4,0.0093692625
